target_id,source_dataset,temporal_cutoff,sequence_length,normalized_sequence_sha256,canonical_sequence,native_residue_count,native_resolved_count,native_resolved_fraction,native_valid,used_for_p0_prior,development_exposed,native_score_or_supervision_exposed,failure_case_exposed,known_exposure_reason,later_date_scope,length_scope,technical_valid,later_eligible_pre_duplicate,exact_sequence_representative,exact_duplicate_excluded,later_eligible_exact_deduplicated,mmseqs_sequence_similarity_cluster,exposed_cluster,drfold_structural_overlap_status,drfold_language_model_provenance_status,boltz_overlap_status,external_exposure_status,provisional_after_repository_audit,provisional_untouched,final_included,eligibility_state,evidence
17RA_A,kaggle_train_v2,1999-04-20,21,24587e7d915ab964915c7f9b2b0dfb62a90d1236ea60b1a68932dc8c0476bb5a,True,21,21,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1A1T_B,kaggle_train_v2,1998-06-17,20,129f4fa29917a0c7906439dd5d1c0605103cc4da1c9ac07eeaf78b212229ac74,True,20,20,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1A4T_A,kaggle_train_v2,1998-04-29,15,b3319a82a015abebb9731467bf861468354d2824bd6b0eecb83c944abd4db439,True,15,15,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1A51_A,kaggle_train_v2,1998-05-27,41,7e5d37d85ad8f69792e71671b9efb98e05f2786b370989d9bf09a5ae8309d451,True,41,41,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1A60_A,kaggle_train_v2,1998-05-27,44,c6e5e9782f6ecb6fc069bcedfa93325b8a540ed0f6ebfa5177489e9157a54bb8,True,44,44,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1A9N_Q,kaggle_train_v2,1998-09-23,24,ea0985067810de0696dbcf25b2bfef7bc951cfd291fd4034ce9fa01010e63d24,True,24,24,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1AFX_A,kaggle_train_v2,1997-05-15,12,58abf3a9a2d77a79d9e4024b8ed0a6c75b5791966e6962682528656e5ded326a,True,12,12,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1AJF_A,kaggle_train_v2,1997-07-07,18,c06935fb1e38b1895173b8e16eaabea2f52a309d5e973261b537b9141ce778f7,True,18,18,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1AJU_A,kaggle_train_v2,1997-12-17,30,917ae0fb1cfeddc3a4f4d9bb204f2a1aee9903c3c300be70d6cbdf21ff773178,True,30,30,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1AM0_A,kaggle_train_v2,1997-07-23,16,b7c8018cb3c1ad80da25ef89c0c3a9331fc459e7ef4cbdcc32866ad9392ca46a,True,16,16,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
