target_id,repository_known_exposed,additional_external_text_evidence,evidence_paths,manual_researcher_memory_status,audit_decision
8BU8_A,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8CBM_T,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8FRU_3,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8FRU_4,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8G4S_g,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8G4S_i,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8I0P_H,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8I0V_B,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8IPA_SB,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8IPB_TB,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8JFT_B,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8JIV_Ab,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8JIV_Ac,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8K85_A,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8KIE_a,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8OI5_AU,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8OKD_X,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8OLV_A,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8OLW_A,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8OLY_A,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8ONY_5,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8ONZ_1,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8OO0_4,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8OPT_D,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8OVJ_4,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8P7X_7,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8P7Y_4,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8P8B_5,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8PM0_V,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8Q6N_A,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8Q7Z_B8,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8Q87_B7,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8QBK_Q,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8QBL_L,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8QHU_3,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8QHU_4,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8QHU_5,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8QHU_7,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8QHU_S4,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8QO2_A,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8QO3_A,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8QO4_A,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8QO5_A,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8R08_1,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8R08_4,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8R7N_A,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8R8M_Z,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8RDV_D8,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8RDV_V,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
8RG0_A,False,False,,UNAVAILABLE_NOT_INDEPENDENTLY_VERIFIABLE,NO_ADDITIONAL_EVIDENCE_FOUND
