target_id,candidate_id,path,sha256,model,global_confidence
8QEQ_R,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/8QEQ_R/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,5f2b8a4e552a00d8872e16c477617515f1b9e0d727a47b849c67e35a5cbeac1b,cfg97_20ckpt_e2e,0.5088862776756287
8QEQ_R,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/8QEQ_R/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,7aa3c4c441e8a9a0d6855e2f792ac05248950d571deadca02c42d080a5579b2a,cfg97_20ckpt_e2e,0.4995831549167633
8RR3_T,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/8RR3_T/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,4ba6a5b8fbecf6ecc762d274d8aa46803a46789c42608502ccfc00c8bdec371f,cfg97_20ckpt_e2e,0.1960497498512268
8RR3_T,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/8RR3_T/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,8da4bb5dfe9727d65aa8365df62006066221c28a34313882e5c1555647355008,cfg97_20ckpt_e2e,0.15769651532173157
8T2Y_tA,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/8T2Y_tA/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,141627a7f01c016076fd3c6e736e9adb5976d92e535096867077dc10ef781ac7,cfg97_20ckpt_e2e,0.44062650203704834
8T2Y_tA,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/8T2Y_tA/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,687e56c3bb28c200bc275263b5b8b6376112c675d99ca7f70fc53a419f574b66,cfg97_20ckpt_e2e,0.4366011917591095
8UP5_T,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/8UP5_T/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,7a8dea1747605e632ae90d2382daf32524cb5ada106fd864ddcb4cffc020dea3,cfg97_20ckpt_e2e,0.3883303105831146
8UP5_T,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/8UP5_T/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,5080bd4bdabc6d5d74ff07859bc6c28e762f252e8f6249a5f7165610f7c9f5e0,cfg97_20ckpt_e2e,0.38596469163894653
8VB6_F,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/8VB6_F/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,b84ddbf4551747f7e0ca98990d55690625f6f38ae62701cac9df29c63988d0a9,cfg97_20ckpt_e2e,0.4612049162387848
8VB6_F,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/8VB6_F/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,d44ac4b20e771b13217c1aedb5ed287e270adcaed6585eb72492ce439859a46a,cfg97_20ckpt_e2e,0.42463651299476624
8VBH_F,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/8VBH_F/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,30562096ed5a5f0c0c94153eff357c8bfa8a494a96698e064d37bf37d3ee7fde,cfg97_20ckpt_e2e,0.39915311336517334
8VBH_F,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/8VBH_F/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,41277c1c1ef075080688ab47b754d3f101f18d01c8168eddee4d5abaff1452b8,cfg97_20ckpt_e2e,0.39033782482147217
8Y03_G,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/8Y03_G/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,92fc939e24704576a5e3e6b666cfdec757d5436574a0c3fc9bfc447181bdbb42,cfg97_20ckpt_e2e,0.33337464928627014
