experiment_id,stage,data_access,candidate_bank,n_candidates,refiner,changed_component,primary_or_secondary,primary_metric,decision_role
R-JTBM,development,"native allowed after candidates are frozen","John public TBM under original local data rules",5,"John rule refiner","reproduction only",reproduction,"best-of-5 TM","Produces J-original-local; not an algorithmic comparator"
R-JHYB,development,"native allowed after candidates are frozen","John public hybrid routing",5,"public John path","reproduction only",reproduction,"best-of-5 TM","Produces J-original-local hybrid; exact winning claim forbidden"
C-JTBM,development_and_final,"final native hidden until all methods freeze","J-controlled TBM",5,Raw,"common data, temporal, self-exclusion and evaluator",control,"best-of-5 TM","Main controlled John TBM baseline"
C-JHYB,development_and_final,"final native hidden until all methods freeze","J-controlled candidate strategy",5,Raw,"common data, protocol and total candidate count",control,"best-of-5 TM","Main controlled John candidate baseline"
H1,final,"single opening after freeze","J-controlled TBM vs Thesis TBM",5,Raw,"thesis TBM retrieval, ranking, transfer and gap group",primary,"paired target best-of-5 TM","Tests H1"
T-SEARCH,development,"native allowed","MMseqs-only; composite-only; MMseqs+composite",5,Raw,"retrieval source",secondary,"best-of-5 TM plus availability","Keep only measured quality gain; otherwise call recall safeguard"
T-COMP,development,"native allowed","G-only vs full 0.4G+0.3L+0.2F+0.1K3",5,Raw,"composite score",secondary,"best-of-5 TM","Simplify if full composite does not help"
T-RANK,development,"native allowed","same retrieved pool",5,Raw,"I; I*Cq; I*Cq*Cs; plus distinct PDB",secondary,"best-of-5 TM","Identify demonstrated ranking terms"
T-GAP,development,"native allowed","same template correspondence",5,Raw,"John; linear; curved gap completion",secondary,"SW-RMSD9 in preregistered gap bins","Keep curved only where measurable"
T-UNSAFE,development_only,"native allowed; prohibited from final","time-safe vs intentionally unsafe",5,Raw,"temporal gate",diagnostic,"best-of-5 TM","Quantifies leakage only"
P-FIXED2,development_and_final,"final native hidden until freeze","2T; 1T+1D; 2D",2,Raw,"source allocation at fixed N",secondary,"best-of-2 TM and pairwise self-TM","Mechanism analysis for direct DRfold2 value versus source diversity; a failed 2D bank remains a source failure"
P-BOLTZ,development_and_final_if_available,"final native hidden until freeze","1T+1B; 1D+1B and matched-N variants",2,Raw,"Boltz source",secondary,"best-of-2 TM and pairwise self-TM","Distinguishes source diversity from DRfold2-specific gain"
H2,final,"single opening after freeze","5T vs 3T+2D under the same Thesis TBM",5,Raw,"replace two template slots with direct DRfold2 candidates",primary,"paired all-target best-of-5 TM","Tests source diversification; unavailable D slots use frozen TBM fallback and remain in primary"
E-JOHN-THESIS,development_and_final,"final native hidden until freeze","J-controlled full pipeline vs final Thesis pipeline",5,"each pipeline's frozen end-to-end refiner","multiple complete-system groups",descriptive_secondary,"best-of-5 TM plus availability","Contextualizes complete systems; forbidden for component attribution"
F-JOHN-C,development_and_final,"same frozen raw structures","J-controlled candidates",5,"Raw; John; Simple; Geometry","refiner",factorial,"candidate-level metrics and bank-level TM","First row of 2x4 factorial"
F-THESIS-C,development_and_final,"same frozen raw structures","Thesis candidates",5,"Raw; John; Simple; Geometry","refiner",factorial,"candidate-level metrics and bank-level TM","Second row of 2x4 factorial"
H3,final,"single opening after freeze","Thesis candidates",5,"Simple vs Geometry","refiner beyond simple smoothing",primary,"candidate-level SW-RMSD9 plus TM noninferiority","Tests H3"
M-CONF,development,"native allowed","same raw structures",5,"shared raw confidence; fixed strength; source-calibrated","confidence modulation",mechanism,"SW-RMSD9 and TM","Drop modulation if no gain over fixed"
M-PAIR,development,"native allowed","same raw structures",5,"candidate-derived; unconditional; sequence-only if feasible","pair-like prior",mechanism,"SW-RMSD9 and TM","Drop candidate-derived term if no gain over unconditional"
M-RG,development,"native allowed","same raw structures",5,"Rg on vs off by length bin","Rg prior",mechanism,"SW-RMSD9 and TM","Clip or disable outside supported length if harmful"
M-FALLBACK,development_and_final,"final native hidden until freeze","all frozen primary banks including fallbacks",5,"frozen cell refiner","execution fallback",engineering,"all-target best-of-5 TM plus failure rates","Primary never silently drops targets; complete-case and source-available results are sensitivity only"
K-EXT,external_hidden,"labels unavailable","full frozen deployed pipeline",5,"frozen final refiner","none",external_check,"Kaggle public/private score","No component attribution"
