component,john_public_release,thesis_current_implementation,difference,status,evidence
Input/data handling,"TBM-only notebook combines 844 original rows with a public extended table and reports 18,946 sequence rows and 18,815 coordinate groups. Hybrid notebook reads merged_sequences_final.csv and merged_labels_final.csv.","Kaggle train V2, parsed PDB_RNA artifacts, and inference target metadata.","The exact John input datasets are not the same as the current thesis artifacts; their content hashes are unavailable locally.",PARTLY_VERIFIED,"utilities/top1_tbm.py; utilities/top1_4_4_hybrid_final_take.py; data/processed/template_meta.parquet"
Template database,"Public TBM code scans its combined sequence/coordinate table. The notebook reports 18,815 coordinate groups. The local reconstructed John-style library has only 7,155 deduplicated sequences.","Current parsed database has 23,869 RNA chains from 8,613 PDB entries; each evaluation applies its allowed snapshot.","Database universe and deduplication differ. J-controlled must use one frozen common database.",PARTLY_VERIFIED,"utilities/top1_tbm.py; scripts/build_top1_from_existing.py; data/processed/top1_template_meta.parquet; data/processed/template_meta.parquet"
Temporal filtering,"No per-target strict release-date filter is visible in the released TBM retrieval. The hybrid merged database also has no verified per-target temporal gate in the captured code.","Requires template release_date strictly earlier than the target cutoff.","Temporal safety is a thesis safeguard and must also be imposed on J-controlled.",VERIFIED_FOR_CAPTURED_CODE,"utilities/top1_tbm.py; utilities/top1_4_4_hybrid_final_take.py; src/rna3d/template/confidence.py"
Self/reference exclusion,"No explicit exclusion of the target PDB is visible in the released John retrieval.","Excludes PDB IDs parsed from target metadata in controlled local evaluation.","Direct-self exclusion is a thesis safeguard and must be shared by both controlled pipelines.",VERIFIED_FOR_CAPTURED_CODE,"utilities/top1_tbm.py; scripts/reproduce_top1.py; src/rna3d/pipeline/tbm.py"
Dedup/clustering,"Candidate top pool is clustered by handcrafted sequence features with KMeans for at least 15 candidates; otherwise farthest-point-like clustering. Exact input-table deduplication is not fully verified.","Template output prefers distinct PDB entries; evaluation cohorts use exact-sequence hashes and MMseqs sequence-similarity clusters.","John clusters candidates for diversity; thesis also controls data overlap and distinct PDB identity. These are different operations.",PARTLY_VERIFIED,"src/rna3d/baselines/top1.py; src/rna3d/pipeline/tbm.py; src/rna3d/geofuse/real_oof.py"
TBM retrieval,"Exhaustive scan after length filtering using 0.4 global alignment + 0.3 local alignment + 0.2 sequence-feature cosine + 0.1 3-mer Jaccard.","MMseqs2 nucleotide prefilter plus exhaustive John-style composite search; merged before ranking.","Thesis adds a fast homolog-retrieval path while retaining the inherited composite path for recall.",VERIFIED,"src/rna3d/baselines/top1.py; src/rna3d/template/mmseqs_search.py; src/rna3d/template/composite_search.py"
Ranking,"Composite score ranks the pool; best member from each feature cluster is retained.","After global realignment, ranks by identity x query coverage x template completeness; prefers distinct PDB entries.","The final ranker and diversity constraint differ and must be ablated term by term.",VERIFIED,"src/rna3d/baselines/top1.py; src/rna3d/template/confidence.py; src/rna3d/pipeline/tbm.py"
Coordinate transfer,"Biopython pairwise2 global alignment with match 2.9, mismatch -1, gap open -10, gap extend -0.5; copies template C1' coordinates.","Biopython PairwiseAligner global alignment with match 2, mismatch -1, gap open -6, gap extend -0.5, unpenalized end gaps; copies only finite C1'.","Alignment implementation and scoring differ.",VERIFIED,"src/rna3d/baselines/top1.py; src/rna3d/template/align.py"
Gap handling,"Internal linear interpolation or a sinusoidal bend when the anchor distance is much shorter than expected; terminal extension; fully missing cases go to de novo.","Internal linear interpolation with curvature for gaps of at least 3 residues; terminal extension; explicit low confidence for filled positions; linear baseline is available.","Both are heuristic but the trigger, curvature rule, and confidence representation differ.",VERIFIED,"src/rna3d/baselines/top1.py; src/rna3d/template/gap_fill.py"
Pretrained model,"Public hybrid runs Boltz-1, then DRfold2 cfg_97. Boltz model_0 is converted and passed to DRfold2 as an AF3-style restraint. Exact hidden-submission versions and hashes are unknown.","Production hybrid runs direct DRfold2 cfg_97 and Arena, selecting up to two outputs by mean model confidence; Boltz is not used.","John's public pretrained path is Boltz-constrained DRfold2; thesis uses direct DRfold2. This is not a one-model substitution.",PARTLY_VERIFIED,"utilities/top1_4_4_hybrid_final_take.py; kaggle/hybrid_inference.py"
Candidate allocation,"Captured hybrid sorts targets by length but uses retained row indices: in submission mode indices below 14 use five template predictions, later eligible indices use five DRfold2/Boltz-constrained predictions until the time limit; failure falls back to templates.","Normally 3 TBM + 2 direct DRfold2; missing DRfold2 slots are filled by more TBM candidates.","John is target-level routing; thesis is within-target source mixing. Primary H2 isolates source allocation as 5T versus 3T+2D under the same Thesis TBM; John-to-thesis bank comparison is secondary end-to-end evidence.",VERIFIED_FOR_CAPTURED_CODE,"utilities/top1_4_4_hybrid_final_take.py; kaggle/hybrid_inference.py"
Confidence,"TBM composite similarity controls rule-refinement strength. A separately calibrated common meaning across TBM, Boltz, and DRfold2 is not visible.","TBM uses identity x coverage x completeness; DRfold2 uses residue pLDDT-derived values and mean confidence; Geometry currently consumes source confidence directly.","Cross-source calibration is unverified. Fixed-strength refinement is the required baseline.",VERIFIED_WITH_CALIBRATION_UNKNOWN,"src/rna3d/refine/rule_based.py; src/rna3d/template/confidence.py; kaggle/hybrid_inference.py; src/rna3d/geofuse/refine_v2.py"
Refinement,"TBM path applies one-pass adaptive_rna_constraints. Hybrid DRfold2 path performs DRfold2 Selection, Optimization, Arena, and uses Boltz restraints; these are not the same as the TBM rule refiner.","Every selected C1' candidate is passed through 300-step Geometry using source, backbone, clash, Rg, angle, torsion, and kink terms.","Same-candidate Raw, John, Simple, Geometry evaluation is required; pipeline-level scores cannot identify the refiner contribution.",VERIFIED,"src/rna3d/refine/rule_based.py; utilities/top1_4_4_hybrid_final_take.py; src/rna3d/geofuse/refine_v2.py"
Fallback,"TBM-only fills missing predictions with rule-refined de novo structures. Hybrid falls back from failed or skipped DRfold2 targets to five template/de novo predictions and duplicates the last DRfold output if fewer than five files exist.","Hybrid fills unavailable direct-DRfold2 slots with TBM; TBM bank itself fills shortages with de novo structures; raw fallback is used if Geometry errors.","Fallback semantics differ and must be reported as engineering behavior unless quality is measured.",VERIFIED,"src/rna3d/baselines/top1.py; utilities/top1_4_4_hybrid_final_take.py; kaggle/hybrid_inference.py"
