evidence_id,phase,research_question,data_role,comparison_or_artifact,primary_metric,target_n,cluster_n,estimate,interval,p_value,decision,status,artifact_path,artifact_sha256,performance_accessed
P0-REPRO,phase1,methodology,prior_training,"P0 production distance/Rg and angle/torsion priors versus exact rebuild",maximum absolute numeric error,3397,NA,0,NA,NA,"Retain P0-production unchanged",PASS,reports/thesis_v4/phase1_p0/p0_reproduction_audit.json,89fcda8af4b8ee05175f392bc1ac3559b55b7a433abbd02d835bdd00922bd9c3,False
J-PUBLIC-AUDIT,phase1,baseline_reproduction,development,"Public John TBM capture and local port","native-blind behavioral smoke",1,NA,"5 repeatable raw candidates",NA,NA,"Use required partial-reproduction wording; continue to DB-controlled baseline",PARTIAL_DATASET_REPRODUCTION_NATIVE_BLIND_SMOKE_PASS,reports/thesis_v4/phase1_john/john_reproduction_audit.json,c7482b001855c3a1c22f330a418d842b2dec4c36e49370b31aa6e683db3de980,False
DB-CONTROLLED,phase1,RQ1,common_control,"Shared template database and J-controlled smoke","artifact validity and native-blind behavioral smoke",1,NA,"23,869 chains; 8,613 PDB; 5 raw smoke candidates",NA,NA,"Freeze identical database for John and thesis",PASS,reports/thesis_v4/phase1_controlled_db/db_controlled_freeze.json,0e969d4877dffbf4673bb14ac003588bd03ed071c1a9175313d07c8667e8207f,False
DRFOLD-PROVENANCE,phase1,RQ2,repository_provisional,"DRfold2 structural and language-model provenance","exact/MMseqs training overlap",172,137,"19 exact; 75 homolog; 97 structural-overlap pass",NA,NA,"Do not call whole model time-safe; RCLM membership unresolved",AUDITED_WITH_RCLM_PROVENANCE_UNRESOLVED,reports/thesis_v4/phase1_pretrained/pretrained_provenance_audit.json,e490165f9eeddb7845ff72c1fa0b86641433662ad9afca1a484519b3dfc5407f,False
BOLTZ-PROVENANCE,phase1,RQ2,mechanism_optional,"Boltz source/checkpoint/training provenance",artifact availability,NA,NA,"checkpoint unavailable; source commit unknown",NA,NA,"Exclude Boltz from V4 evidence unless provenance is recovered",UNAVAILABLE,reports/thesis_v4/phase1_pretrained/pretrained_provenance_audit.json,e490165f9eeddb7845ff72c1fa0b86641433662ad9afca1a484519b3dfc5407f,False
STATS-IMPLEMENTATION,phase1,H1_H2_H3,synthetic_only,"Preregistered cluster bootstrap, cluster sign flip and Holm step-down",unit tests,NA,NA,"5/5 synthetic tests pass",NA,NA,"Freeze implementation hash before confirmatory opening",PASS,reports/thesis_v4/phase1_statistics/inference_config.json,cba3c2ecace0edfcba34370756a41e9603c2c2d6fbc9dfe44f603aa8a8b03d26,False
J-HYBRID-CONTROL,phase1,baseline_reproduction,artifact_smoke,"Public John hybrid routing padding and fallback","executable control-flow smoke",NA,NA,"model route and fallback pass; structural Boltz branch unavailable",NA,NA,"Use partial-reproduction wording and exclude from component attribution",PARTIAL_MODEL_REPRODUCTION,reports/thesis_v4/phase1_completion/phase1_completion_audit.json,263ca0ab6e2dcfa7729f9072cdb657d7b5927e74beeb322cb5b22eef5688c3ff,False
EXTERNAL-EXPOSURE,phase1,data_provenance,repository_provisional,"Accessible external text and artifact audit",additional exposure evidence,172,137,"0 additional targets found; human memory unavailable",NA,NA,"Retain limitation and exclude any later positive evidence",AUDITED_WITH_LIMITATION,reports/thesis_v4/phase1_completion/external_exposure_audit.csv,4362d95be8a088bd746167e81434c6107495b56eb6daa332ab6dfe9c03e26dd7,False
DEV-FREEZE,development,H1_H2_H3,development,"Exposed development cohort and controlled protocol","manifest and artifact freeze",20,17,"20 targets; 40 cached DRfold2 candidates",NA,NA,"Run development only; never use as confirmatory evidence",FROZEN,reports/thesis_v4/development/development_protocol_freeze.json,fe2c21270cf35e5aaaa22801573ab1637ed24004587bc065e22386a4c58a3268,False
H1,development_and_confirmatory,RQ1,controlled_local,"J-controlled TBM versus Thesis TBM",best-of-five TM,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,UNKNOWN,UNKNOWN,False
H2,development_and_confirmatory,RQ2,controlled_local,"5T versus 3T+2D under the same Thesis TBM",best-of-five TM,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,UNKNOWN,UNKNOWN,False
H3,development_and_confirmatory,RQ3,controlled_local,"Simple versus Geometry on identical raw candidates","SW-RMSD9 plus TM preservation",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,UNKNOWN,UNKNOWN,False
K-EXT,external_check,complete_system,external_hidden,"Frozen thesis pipeline on Kaggle",Kaggle aggregate TM,UNKNOWN,NA,UNKNOWN,NA,NA,"No component attribution",LOCKED,UNKNOWN,UNKNOWN,False
