target_id,temporal_cutoff,sequence_length,normalized_sequence_sha256
17RA_A,1999-04-20,21,24587e7d915ab964915c7f9b2b0dfb62a90d1236ea60b1a68932dc8c0476bb5a
1A1T_B,1998-06-17,20,129f4fa29917a0c7906439dd5d1c0605103cc4da1c9ac07eeaf78b212229ac74
1A4T_A,1998-04-29,15,b3319a82a015abebb9731467bf861468354d2824bd6b0eecb83c944abd4db439
1A51_A,1998-05-27,41,7e5d37d85ad8f69792e71671b9efb98e05f2786b370989d9bf09a5ae8309d451
1A60_A,1998-05-27,44,c6e5e9782f6ecb6fc069bcedfa93325b8a540ed0f6ebfa5177489e9157a54bb8
1A9N_Q,1998-09-23,24,ea0985067810de0696dbcf25b2bfef7bc951cfd291fd4034ce9fa01010e63d24
1AFX_A,1997-05-15,12,58abf3a9a2d77a79d9e4024b8ed0a6c75b5791966e6962682528656e5ded326a
1AJF_A,1997-07-07,18,c06935fb1e38b1895173b8e16eaabea2f52a309d5e973261b537b9141ce778f7
1AJU_A,1997-12-17,30,917ae0fb1cfeddc3a4f4d9bb204f2a1aee9903c3c300be70d6cbdf21ff773178
1AM0_A,1997-07-23,16,b7c8018cb3c1ad80da25ef89c0c3a9331fc459e7ef4cbdcc32866ad9392ca46a
1AQ3_S,1997-12-24,19,a66186c05d783df9ef242183e76e8874f1d519a07db5074bc4a13cee02139ab1
1AQ4_S,1997-12-24,19,a66186c05d783df9ef242183e76e8874f1d519a07db5074bc4a13cee02139ab1
1ATO_A,1997-11-12,19,ca2c4da2f757302f9188b5d82998954c063caa6d3b211f710f1e42879818e5cc
1ATV_A,1998-02-25,17,cfd60936d04c709571afb7850defeb3fc21ea7ede83b192897b4bee7806328d0
1ATW_A,1998-02-25,15,7ef4f8bbdf149860329cd58dbf8cd70f6829098c162285ec3365884a0309695a
1AUD_B,1998-02-25,30,f925791fcc4e9992ef3259d6c520baea7731d3c674ad5625b0e59fffbc53b67e
1AW4_A,1998-04-15,27,9f36b04217eecc855fbb1d7ef0e638c6d30c9c3329ff7b004cf77b699e5189f0
1B01_E,1999-11-19,19,e8d3728d612f2da0da029277d634d4374b9e6e14e8ed2c3f69f5cf0d2899225a
1B01_F,1999-11-19,19,37b38be7dbb81805a5e59ed677c56e194fada6a748af81147ea8b5f7325d8c13
1B36_A,1998-12-23,38,bc5277436539450514b6d04bd0fe22632b4e0556da97bad4d5a9c01de9cbda7b
1BAU_A,1999-04-27,23,c35a13ee2f94efb53ccc313dec5d44f9db2867a2fcc1283957b529313e4c6e9e
1BGZ_A,1999-01-13,23,ed915062c05f765ec53ec9765f0e5c8fd4c4264c8ad946226c799214741604ab
1BR3_B,1999-02-23,28,95491da45b319358b99c6e4b64c3b3afc73ec5ff5482233bfe0df7a1c474a3f8
1BVJ_A,1998-12-09,23,2edb36641ac17962ade4b132ba860c5b7cd1da1e94a92f8466d50767b5b4e119
1BYJ_A,1999-10-29,27,bbdab9cde9655d13304e9bbf2ad29392e5c6e58541cc9dc473f29b7b529f1eed
1BZ2_A,1999-04-27,17,3239c32f90063de768ea689eea49ebbaa12a349f490a66674c20245b6346d836
1BZT_A,1999-04-27,17,3239c32f90063de768ea689eea49ebbaa12a349f490a66674c20245b6346d836
1C0A_B,1999-11-23,77,eb3b7b0c79383b6761703320f6c953b25376611e73aee9d0ec7ff2557a296b26
1C0O_A,1999-08-31,14,fcc8f2f91f85372551589a091e36a76411e056737c8fb1a405afbb2af44f410b
1C2W_B,2000-04-10,2891,784f60d4bc4205451c8ca99d6e986bb15213ec81a3e92aba8710675db8d91cf1
1CQ5_A,1999-08-23,43,d65beb44e8bb51d55ab03b9179a434b6a3a8b278bba59256a6c72363c01c7727
1D0T_A,2000-05-24,21,35f6b981f3f3a277cdcc2c61699ade1d339876ced78d033a621e389f375bdbe9
1D0U_A,2000-05-24,21,35f6b981f3f3a277cdcc2c61699ade1d339876ced78d033a621e389f375bdbe9
1D16_A,1989-01-09,16,cbad6314c9a60794b1bb2416a7ad6817017311513c9369b859be81a3ecefa007
1D6K_B,1999-11-22,37,a0b40068d8fea2386e26c72914bafc4eb3387a6dbea6f51c4f31aa80b1770c3a
1DV4_A,2000-02-02,362,995c9dd8275568c6b3bbbda9e8c5ad8c7eb59fbf1c051fc3bc0add96e86dbe55
1E4P_A,2001-01-16,24,1792a60d6c640a33076ed73e910c65b6d66758bab30c1d0c294bd695b9114031
1E7K_D,2001-02-19,22,5ad12a8cfa0622cbfa974a16c490a4899411e8387b501b9ffe6d124ab33ed711
1E8O_E,2000-11-08,50,949e471568dbfabe274b08c251b05f0974cc29ee42796c0dab4aecefa13d965b
1E95_A,2001-08-23,36,788aa7b394ed9edf5178d44494eff9bab5bc73bd5dbb4a4091fcbfe21d4da0f3
1EA4_Y,2001-07-05,21,3e43b38812c59b8fd976fdb5119151d41c1052daafada1f55f6f7c4ef9e4cd3b
1EA4_Z,2001-07-05,21,62fce0612f05653b3f250c515a98abcfc97ed0d2871f463f8fa0bb14b50d4834
1EBR_A,1997-07-07,30,13385c7239731251c760bcdc3f7ab8e46a7220e5f479f385d20f2073d04a274c
1EBS_A,1997-07-07,29,35eb1c995460c07bae66d95cfe2e7af1b248fb12c73c252d5b89ded465c024ea
1EC6_D,2000-02-21,20,86ecb76417b919a31517a8e393f222493cb3e305f546ac9b64371d7ac4a5908c
1EFW_C,2000-06-19,73,ff4dbb1671c39f7c178c4d818c187d5b74e371d1e861ef91a950528257b7d9f6
1EGK_B,2000-06-26,34,f6cd2ba909ec9f710d6471b2bbef7419b966366eef100cc88329eb41134f9d6a
1EI2_A,2000-03-06,25,e35c8599c960a450716afb747ebb69b6d583c092880ea8d95fd4673058cd4d7a
1EKZ_B,2000-08-21,30,dc490a6d9e08aa57de68c59e7fe625cc0e2a4a9aeb7da1e43af929d4e9f959a5
1ESH_A,2000-04-24,13,e57e40cc051a45ea25f663ea5f1104244a99e3bb64b76f0b5ec50a3661efdf58
1ESY_A,2000-05-31,19,66165706cf44035c13d0f15aa38abe92883a72f25312f2ae7597468533aabea2
1ET4_B,2000-11-13,35,6ec69eeef190b3788b7253513f1b60f6d213512a91e9a70d76d29bcfe66d745e
