artifact_group,required_artifact,current_location,current_status,current_identifier_or_sha256,freeze_before_final,action_required
Code,V4 code commit,git repository,AVAILABLE,"91b22391cdaa6ca968bb1480ced4b9734bd95d0e (pre-preregistration HEAD)",yes,"Record new commit after preregistration and frozen-method commits"
Environment,Conda environment explicit spec,rna-fold,AVAILABLE,"explicit-spec snapshot hash b57bb902334e4f822526cb5267deada1ea3b33c80ca7aa9bc4f1ab55de7cd026",yes,"Export the actual explicit spec file rather than only its stream hash"
Environment,Python version,rna-fold,AVAILABLE,"Python 3.12.13",yes,"Record full package lock"
Evaluator,US-align binary,external/binaries/USalign,AVAILABLE,"7fb696c3198a8a01a283a9af165408338025f6ee35ace1d14c9c76636f0a9f14",yes,"Verify scorer behavior against a tiny fixture"
Clustering,MMseqs2 binary,rna-fold/bin/mmseqs,AVAILABLE,"18.8cc5c; sha256 d6d1bf1b50c095eb0cb66f685a7fb1d9b8b69497e1e88416fd48f28e313cc773",yes,"Freeze command and threads"
Data,Kaggle train sequences V2,data/stanford-rna-3d-folding/train_sequences.v2.csv,AVAILABLE,"efe6c57cd753f7704167b8ca5ebd73eb46f4da7fbc55dcf29ed59771d9282499",yes,"Retain in audit snapshot"
Data,Kaggle train labels V2,data/stanford-rna-3d-folding/train_labels.v2.csv,AVAILABLE,"47f622f1c7e671a790a0f985527dbf23f62da5d459872ccf5ddcf511630dc876",yes,"Retain in audit snapshot; final scorer must read only after freeze"
Data,development exposure ledger,reports/thesis_v4/preregistration/development_exposure_ledger.csv,AVAILABLE_FROZEN,"3,516 rows; sha256 ae9946c485d57a9b9e54f294ca4c91060d9d3b8098497e2114e72997a307842f",yes,"Repository exposure is frozen; confirm manual and external exposure separately"
Data,V4 master ledger,reports/thesis_v4/preregistration/v4_master_rna_ledger.csv,AVAILABLE_FROZEN,"5,135 rows; sha256 780e30cd25e10c610a52bd0e434002f134ba25f8012289a951a72f4b0a6fe549",yes,"Keep all roles and audit-pending flags; never silently replace this universe"
Data,CASP15 development ledger,reports/thesis_v4/preregistration/casp15_development_ledger.csv,AVAILABLE_FROZEN,"12 development-only targets; sha256 b0e17ec820f82e0372602c112cdc5e114d2738a3eed1ed0aa787d74cfe9ef4d8",yes,"Keep separate from 5,135-row train-V2 master ledger"
Data,final untouched manifest,UNKNOWN,LOCKED,"UNKNOWN",yes,"Construct only after all exposure and model-overlap audits"
Data,MMseqs cluster assignment,reports/thesis_v4/preregistration/v4_mmseqs_sequence_similarity_clusters.tsv,AVAILABLE_FROZEN,"227 clusters over 315 exact-sequence representatives; sha256 17ea1b6f48b9154f137de495d091a34705c47c600a2e65d3adfac61f8dfe7269",yes,"Use regenerated clusters as dependence blocks and retain exact command provenance"
Templates,common controlled template metadata,data/processed/template_meta.parquet,AVAILABLE_UNFROZEN,"23,869 chains; hash UNKNOWN in checklist",yes,"Freeze metadata plus coordinate-store hashes and allowed snapshot"
Templates,common controlled template coordinates,data/cache/template_coords.pkl,AVAILABLE_UNFROZEN,"UNKNOWN",yes,"Hash after controlled database is selected"
John,public TBM capture,utilities/top1_tbm.py,AVAILABLE,"c8eb61cbb97c85ac0a58c37ce88881596f27fac9a9b072837d159b0726ee9d9e",yes,"Record Kaggle notebook URL/version separately"
John,public hybrid capture,utilities/top1_4_4_hybrid_final_take.py,AVAILABLE,"0c0e00685cbb131962b7eac7a1390e50b2b14c0a2828858df94318d79b2dca4c",yes,"Separate executable cells from captured output and freeze"
John,exact attached Kaggle input datasets,UNKNOWN,UNKNOWN,"UNKNOWN",yes,"Recover names, versions and hashes or label reproduction partial"
John,exact public notebook environment,UNKNOWN,UNKNOWN,"UNKNOWN",yes,"Record Python, CUDA and wheel versions"
Prior,P0 production distance/Rg prior,data/processed/geometry_priors.json,AVAILABLE,"6d75eadd5a209310b2ceeb398f157254c4983df49a1323cbd774c3767c73611f",yes,"Rebuild exact 3,397-target manifest and compare numerically"
Prior,P0 production angle/torsion prior,data/processed/geofuse_geometry_v2_priors.json,AVAILABLE,"9f2517546c6e9b87cb9a7335c66b68a76f8ab548b4b1e66def29d04a3e986302",yes,"Rebuild from same exact manifest and compare"
Prior,P0 production Geometry config,src/rna3d/geofuse/refine_v2.py,AVAILABLE,"abd15fe6b1667a26b6460290e0187135656acd2fec256ae61f2ae456a5b89a50",yes,"Freeze all fields, including w_source=3.0 and steps=300"
Prior,P1 robust prior,UNKNOWN,NOT_CREATED,"UNKNOWN",yes,"Create only if selected using development data; never overwrite P0"
DRfold2,source checkout,/home/datdo/.cache/rna3d/external/DRfold2,DIRTY_CHECKOUT,"git 3667d6ac44c5b14cff94c36e0371224acb2cdae5 with local modifications",yes,"Create clean immutable copy and diff local John-related patches"
DRfold2,structural train FASTA,/home/datdo/.cache/rna3d/external/DRfold2/data/train.fasta,AVAILABLE_PROVENANCE_UNVERIFIED,"fbd10e8c0a3511e6b70ad38afb6d86ca2b6111f5baaffba51e641cab4cb598a1",yes,"Verify whether it is complete structural training data and its release cutoff"
DRfold2,RCLM checkpoint,/home/datdo/.cache/rna3d/external/DRfold2/model_hub/RCLM/epoch_67000,AVAILABLE,"2b8d62e48d080f7fdff5eb03897cb91c214c53bcfddfa7171d1ae1a66bc055f5",yes,"Audit sequence-language-model pretraining provenance separately"
DRfold2,cfg_97 ensemble checkpoints,/home/datdo/.cache/rna3d/external/DRfold2/model_hub/cfg_97,AVAILABLE_UNMANIFESTED,"model_0 sha256 4b4bfdd88dfe5fb89e7cb5a824f7e5065257d05827150ffb5b26b8c86f307b38; remaining UNKNOWN",yes,"Hash all 20 files into one manifest"
Boltz,Boltz source and commit,UNKNOWN,UNKNOWN,"UNKNOWN",yes,"Recover public notebook's Kaggle dataset version or omit Boltz evidence"
Boltz,Boltz-1 checkpoint,UNKNOWN,UNKNOWN,"UNKNOWN",yes,"Hash boltz1_conf.ckpt if available"
Candidates,J-original candidate cache,UNKNOWN,NOT_CREATED,"UNKNOWN",yes,"Store target, source, command, seed and hashes"
Candidates,J-controlled candidate cache,UNKNOWN,NOT_CREATED,"UNKNOWN",yes,"Store target, source, command, seed and hashes"
Candidates,Thesis raw candidate cache,UNKNOWN,NOT_CREATED,"UNKNOWN",yes,"Freeze before any final native scoring"
Refinement,Raw/John/Simple/Geometry configs,UNKNOWN,NOT_CREATED,"UNKNOWN",yes,"One immutable config per cell in the factorial"
Statistics,cluster-aware inference implementation,UNKNOWN,NOT_CREATED,"10,000 cluster bootstraps and 100,000 cluster sign flips; PCG64 seed 20260819; Holm over H1-H3",yes,"Implement exact preregistered algorithm and test on synthetic fixtures before final opening"
Deployment,Kaggle notebook/version and submission,UNKNOWN,NOT_FROZEN,"UNKNOWN",after_local_final,"Use only for external full-pipeline check"
