target_id,exact_sequence_overlap,mmseqs_homolog_overlap_80_80,homolog_hit_count,maximum_percent_identity,maximum_query_coverage,maximum_target_coverage,v4_status
8BU8_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8CBM_T,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8FRU_3,False,True,4,100.0,0.975,1.0,EXCLUDE_MODEL_OVERLAP
8FRU_4,False,True,4,97.8,0.979,0.993,EXCLUDE_MODEL_OVERLAP
8G4S_g,False,True,1,95.8,0.986,1.0,EXCLUDE_MODEL_OVERLAP
8G4S_i,False,True,46,98.6,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8I0P_H,False,True,1,90.1,0.968,1.0,EXCLUDE_MODEL_OVERLAP
8I0V_B,False,True,7,100.0,0.983,1.0,EXCLUDE_MODEL_OVERLAP
8IPA_SB,False,True,12,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8IPB_TB,False,True,3,100.0,0.992,1.0,EXCLUDE_MODEL_OVERLAP
8JFT_B,False,True,1,97.8,0.929,0.989,EXCLUDE_MODEL_OVERLAP
8JIV_Ab,False,True,3,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8JIV_Ac,False,True,13,98.1,1.0,0.994,EXCLUDE_MODEL_OVERLAP
8K85_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8KIE_a,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8OI5_AU,True,True,36,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8OKD_X,False,True,1,100.0,0.84,1.0,EXCLUDE_MODEL_OVERLAP
8OLV_A,False,True,20,100.0,0.992,1.0,EXCLUDE_MODEL_OVERLAP
8OLW_A,False,True,20,100.0,0.995,1.0,EXCLUDE_MODEL_OVERLAP
8OLY_A,False,True,20,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8ONY_5,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8ONZ_1,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8OO0_4,True,True,35,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8OPT_D,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8OVJ_4,False,True,6,99.4,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8P7X_7,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8P7Y_4,False,True,2,97.2,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8P8B_5,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8PM0_V,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8Q6N_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8Q7Z_B8,False,True,18,99.3,0.994,1.0,EXCLUDE_MODEL_OVERLAP
8Q87_B7,False,True,9,94.0,0.992,1.0,EXCLUDE_MODEL_OVERLAP
8QBK_Q,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8QBL_L,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8QHU_3,False,True,4,92.7,0.981,1.0,EXCLUDE_MODEL_OVERLAP
8QHU_4,False,True,6,100.0,0.995,1.0,EXCLUDE_MODEL_OVERLAP
8QHU_5,False,True,4,91.4,0.978,1.0,EXCLUDE_MODEL_OVERLAP
8QHU_7,False,True,9,96.4,0.988,1.0,EXCLUDE_MODEL_OVERLAP
8QHU_S4,False,True,44,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8QO2_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8QO3_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8QO4_A,False,True,1,99.2,0.859,0.993,EXCLUDE_MODEL_OVERLAP
8QO5_A,False,True,1,91.5,0.979,0.993,EXCLUDE_MODEL_OVERLAP
8R08_1,False,True,1,100.0,1.0,0.994,EXCLUDE_MODEL_OVERLAP
8R08_4,False,True,3,94.4,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8R7N_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8R8M_Z,False,True,1,88.2,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8RDV_D8,False,True,4,85.5,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8RDV_V,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8RG0_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8RKT_1,False,True,6,98.0,0.958,1.0,EXCLUDE_MODEL_OVERLAP
8RO0_5,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8RO0_6,False,True,8,96.4,0.832,0.866,EXCLUDE_MODEL_OVERLAP
8RO1_5,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8RQK_U,False,True,1,100.0,0.875,1.0,EXCLUDE_MODEL_OVERLAP
8RR4_T,False,True,1,100.0,0.842,0.97,EXCLUDE_MODEL_OVERLAP
8RRI_Ax,False,True,4,98.5,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8RWG_C,False,True,3,100.0,0.967,1.0,EXCLUDE_MODEL_OVERLAP
8RXH_L5,False,True,4,90.6,0.978,1.0,EXCLUDE_MODEL_OVERLAP
8RXH_L8,False,True,5,100.0,0.968,1.0,EXCLUDE_MODEL_OVERLAP
8RXX_L4,False,True,6,99.4,0.995,1.0,EXCLUDE_MODEL_OVERLAP
8RXX_L5,False,True,4,90.6,0.978,1.0,EXCLUDE_MODEL_OVERLAP
8S1U_a,True,True,12,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8SD0_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8SFP_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8SYK_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8T2P_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8T2P_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8T2Y_A3,True,True,8,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8T5O_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8T6T_B,True,True,17,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8TPU_AC,False,True,2,96.7,0.981,1.0,EXCLUDE_MODEL_OVERLAP
8TUX_R,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8TVZ_C,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8U5J_A,False,True,4,97.1,0.972,1.0,EXCLUDE_MODEL_OVERLAP
8U60_B,False,True,4,97.1,0.972,1.0,EXCLUDE_MODEL_OVERLAP
8UB9_I,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8UIW_N,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8UMF_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8UO6_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8UPY_C,True,True,2,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8URQ_D,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8UZB_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8V84_2,True,True,39,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8VCI_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8VK7_B,True,True,4,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8VSA_ATRN,True,True,12,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8VXZ_C,False,True,4,100.0,0.972,1.0,EXCLUDE_MODEL_OVERLAP
8W2O_R,False,True,1,94.7,0.988,1.0,EXCLUDE_MODEL_OVERLAP
8W2Z_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8WCE_G,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8WMM_O,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8WR4_N,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8WUS_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8WUT_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8WUU_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8WUV_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8X5V_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8XAK_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8XCA_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8XTP_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8XTR_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8Y0D_B,False,True,1,98.3,0.811,0.882,EXCLUDE_MODEL_OVERLAP
8Y39_B,True,True,12,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8YDC_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8YE9_C,True,True,14,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8YGJ_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8YHA_C,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8YII_C,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8YUR_V,False,True,6,100.0,0.974,1.0,EXCLUDE_MODEL_OVERLAP
8ZAU_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8ZDR_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
8ZMH_A,True,True,2,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
8ZTU_Y,True,True,7,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
9AR4_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9AR6_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9AR7_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9ASP_E,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9AXT_B4,False,True,36,100.0,0.958,1.0,EXCLUDE_MODEL_OVERLAP
9B1Y_4,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9B89_C,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9BCI_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9BS0_B,False,True,8,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
9C0J_R,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9C3H_S4,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9CAI_A7,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9CAI_A8,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9D0J_1w,True,True,47,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
9DTR_2,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9DTR_5,False,True,3,100.0,0.85,1.0,EXCLUDE_MODEL_OVERLAP
9DTR_6,False,True,7,100.0,0.946,1.0,EXCLUDE_MODEL_OVERLAP
9DTR_I,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9DXL_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9E2W_F,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9E2Y_F,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9E71_2,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9ESH_6,False,True,1,100.0,0.909,1.0,EXCLUDE_MODEL_OVERLAP
9ESI_5,False,True,1,100.0,0.875,1.0,EXCLUDE_MODEL_OVERLAP
9F1B_B8,False,True,18,100.0,0.994,1.0,EXCLUDE_MODEL_OVERLAP
9FI8_bN,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9FI8_hG,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9FIA_bE,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9FIA_bL,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9FIA_bO,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9FIA_bT,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9FIA_bU,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9FO9_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9FPZ_1,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9FQ0_1,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9G6K_l2,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9G6K_l4,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9G6K_l6,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9G6K_l7,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9G6K_l8,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9G6K_lF,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9G6K_lI,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9G6K_lJ,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9G6K_lL,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9G6K_lM,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9G6K_lO,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9G6K_lX,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9G7C_A,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9GFT_A3,True,True,6,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
9GFT_AU,True,True,12,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
9GMO_B,True,True,9,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
9GMO_C,True,True,18,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
9J8P_B,False,True,8,100.0,0.915,1.0,EXCLUDE_MODEL_OVERLAP
9KPO_B,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9L5R_6,False,True,5,81.8,0.861,0.876,EXCLUDE_MODEL_OVERLAP
9L5S_5,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9MTY_C,False,False,0,,,,STRUCTURAL_OVERLAP_PASS
9N2B_5,True,True,14,100.0,1.0,1.0,EXCLUDE_MODEL_OVERLAP
