target_id,raw_path,raw_sha256,metadata_sha256,j_template_candidates,thesis_template_candidates,drfold2_candidates,mmseqs_candidates,safe_composite_pool
8QEQ_R,data/cache/v4_development_raw/8QEQ_R/raw_banks.npz,c27c7ba4a82d1bfe23298c879d780144428e93121dd7082048e001291f2392c6,f7ce2307e1f241c1e0064e3e4c48f21def32f0c3a66aa640eca804d813201a83,5,5,2,0,50
8T2Y_tA,data/cache/v4_development_raw/8T2Y_tA/raw_banks.npz,56e9a91ee49bcdab0b310a5e5e5e893c16b1effb4c7fae6b469e6e6213165a52,642ba60136a156f38b7a33cc24d8ee446dd97a8d11a5b3e182973cdc064e9b31,5,5,2,30,50
8VB6_F,data/cache/v4_development_raw/8VB6_F/raw_banks.npz,81efdea6f91547a8ba94346fa633569dcfa01e0139d6fa9198aef5e9c6ed6f5c,cfb479aede40bc168bd2c60a63bceaa806133af70c5ab755425751aaf6c36873,5,5,2,0,50
8VBH_F,data/cache/v4_development_raw/8VBH_F/raw_banks.npz,91d8680c9dad7a8d105ddb26bbc4ebda3548c7f9eae17bda25dfeac636fbf7a1,991a0bc4d69e6c823324b2d66a0720101ffe15cac8051a68b8cce377813ca295,5,5,2,0,50
8ZOL_A,data/cache/v4_development_raw/8ZOL_A/raw_banks.npz,7dd6512e25938bc657b74f134e46082fd2e917d8b2dfdd761b03a1354bc9c728,bca64fddc1df9d31a5d1df0c6875713a03bb5ac6c57552fe82ebd0e1611f323b,5,5,2,11,50
9FI8_hB,data/cache/v4_development_raw/9FI8_hB/raw_banks.npz,515c0f4cdd8e719be4e0b3a52129a3f61b7db5810c2469fca8b7726d5732865d,8afc69c706341f7ebd3e328f4218636c251a41a4b8bd566bd800d087c48a72ba,5,5,2,0,50
9FI8_hL,data/cache/v4_development_raw/9FI8_hL/raw_banks.npz,a44bf8c00069cfed136f732a4849c76b964f0110dfd509ee56d236131da69d17,882cd03bce53502e66dac6324bf406d7f47246eaa1181e660ee4eea7f1059654,5,5,2,0,50
9FIA_bJ,data/cache/v4_development_raw/9FIA_bJ/raw_banks.npz,a1fa4aef96ff937db19cfb3f1440d08362d0b3608276fdfb87e451f4ee1c3337,bfaf5762bf132cebfe768de2c595df947562f423b93fcc3718da041cbad44fe1,5,5,2,0,50
9G6K_l1,data/cache/v4_development_raw/9G6K_l1/raw_banks.npz,f98fd4107995e169958b7b1b851fbe5d69a90d15777962a035b869d60f64670f,a6878c7371b7437849c7c219f6915245a450b04588b185306b9a336bfaad569e,5,5,2,0,50
9G6K_l3,data/cache/v4_development_raw/9G6K_l3/raw_banks.npz,b18741aac99cd68adc4152af83202fdcd85f53257d5eda9bb68dc5699c586956,55dbe6458bd7ec42258f628d602e903e05b94948c93ca41532cf37fb2314421c,5,5,2,0,50
9G6K_l9,data/cache/v4_development_raw/9G6K_l9/raw_banks.npz,c4a82d4d43684917339dfdc38399a18ca94a91091213da11fc26e1ceada485aa,e6f57c6d199b9edddbc448582c7ca69573a9775592a073c3731c3945522e29e3,5,5,2,0,50
9G6K_lA,data/cache/v4_development_raw/9G6K_lA/raw_banks.npz,8cfc92e413bd03c9a341341cad6ef4ec0ada0f5b4fe6961bb6630c36715866a9,d29271f5051eed6419f7820257eb3fc96f145406960085efe2d05d962d048884,5,5,2,0,50
9G6K_lB,data/cache/v4_development_raw/9G6K_lB/raw_banks.npz,34c951a0b79f79fe6d5c275ea6ddc66cc9f33623bc090468b894a292e79ea552,559e1fb605beec188d5bbabb857bd41a45d85549d1f673bb350c1344bc3bc92c,5,5,2,0,50
9G6K_lK,data/cache/v4_development_raw/9G6K_lK/raw_banks.npz,3eefcf2102642195d7ad1e6ccc32b9fe97b2299871c4a4f17a23e4ba41dc7f02,1b8b545ad3a600a3e26b7c254cb9122fe1c7fd9448380a8e660536f1b32bd7dc,5,5,2,28,50
8UP5_T,data/cache/v4_development_raw/8UP5_T/raw_banks.npz,3c36ccfe93b5d6f3e2a9e0c08f5a492f5a2f0feb8509b2de81b71b432dcd0640,9f3d6fbcb7d65be2a30b7ed88b99418f3ff783fccff8ab7f7570fb5cc5082299,5,5,2,18,50
9D85_T,data/cache/v4_development_raw/9D85_T/raw_banks.npz,d52d6d06ca420ebff5d13894ef64c1fb6039bd055da251dd6cf98500dd5153ac,310ce4cd6ee3d11ce6e72a4df9fa45b8518583bf9491ca8125303ca8b981bd80,5,5,2,18,50
8Y03_G,data/cache/v4_development_raw/8Y03_G/raw_banks.npz,feb18527fc46916de52c3e650ca23d30ba42693a7aae5a2241a969fa46800549,573a727b08bf33eae0f7226e725fae88384f731d78797ba1d4bc146c20a8e538,5,5,2,21,50
8Y08_B,data/cache/v4_development_raw/8Y08_B/raw_banks.npz,626174dd6995ce02ac8686cb83ca4314f96310026805972d0d18b63c9f54dd36,9d111fb510c0219b2e069fe7e86876d0741b878bc4d910c1a5151ca6de0f4a8c,5,5,2,21,50
8Y0B_B,data/cache/v4_development_raw/8Y0B_B/raw_banks.npz,91b83684ccc211052d460690f98bae8498f8a85e177fe8669cd66d53567d78d1,905ef6b982190cc755438d7098418e7cb2a0c3155bf865ca6de8253f14499b59,5,5,2,22,50
8RR3_T,data/cache/v4_development_raw/8RR3_T/raw_banks.npz,655595ee4c38974b818e5e1a7bbd68c943be93b44531fc7b5259d906708a663c,0e2191e39a20c20b97802a178a5769cc8b5291c79ac253201581478dd039bc5c,5,5,2,0,50
